timestamp,episode,total_reward,steps,success,final_distance,start_distance
2025-09-19 18:05:51,0,2.2774013643893594,53,True,1.9117993369915314,5.689731888151561
2025-09-19 18:05:54,1,5.068666469386835,38,True,1.7611723125541932,9.048622757769197
2025-09-19 18:06:24,2,-18.528873455098925,361,False,4.247744496841982,6.428128345640487
2025-09-19 18:06:25,3,4.261264667735149,11,True,1.9977248857659071,5.233812772180146
2025-09-19 18:06:27,4,5.937842314203873,23,True,1.8480279348441573,8.690041507322624
2025-09-19 18:06:29,5,6.095810549133646,25,True,1.7921421112283822,9.466135502781194
2025-09-19 18:06:31,6,5.787168653421007,16,True,1.9780629096831568,8.279336061259341
2025-09-19 18:06:32,7,4.964101952258758,16,True,1.729584984920094,6.681726530639259
2025-09-19 18:06:35,8,4.846153526216444,33,True,1.9898817050036046,8.401618175588498
2025-09-19 18:07:05,9,-22.27360176245307,361,False,8.876045771677767,5.290864728334697
2025-09-19 18:07:22,10,-5.800703258385471,204,True,1.9942312099267954,6.887121760068711
2025-09-19 18:07:27,11,2.256938662377479,58,True,1.8312871822216614,6.586292149892893
2025-09-19 18:07:30,12,5.329559032780996,33,True,1.922848691235356,8.721640153055926
2025-09-19 18:08:00,13,-18.9095420154645,360,False,5.332138851707089,7.36226992017783
2025-09-19 18:08:05,14,1.879755505779979,62,True,1.9088149693519538,6.014062128560187
2025-09-19 18:08:11,15,3.1191422217062694,67,True,1.7172320540095682,8.176987042959702
2025-09-19 18:08:16,16,3.433753414546093,70,True,1.9570948671355564,9.899195528550704
2025-09-19 18:08:18,17,4.432355601614071,15,True,1.7773603864854641,5.69617691335581
2025-09-19 18:08:19,18,4.594220173792294,20,True,1.8282515004662925,6.559080580142181
2025-09-19 18:08:24,19,3.9890520494179116,51,True,1.996465133083892,8.64837517033341
2025-09-19 18:08:54,20,-20.804422455158246,363,False,9.039548035909664,8.125526614852902
2025-09-19 18:09:24,21,-20.344606152369426,363,False,5.619412483856707,5.339327086664647
2025-09-19 18:09:54,22,-22.958580342922527,363,False,11.382326573717421,6.838280881251412
2025-09-19 18:10:24,23,-19.559859118724447,360,False,6.662064887632357,7.390840157929702
2025-09-19 18:10:29,24,1.9724539114227282,64,True,1.973934835975548,6.169920821392588
2025-09-19 18:10:33,25,3.369581896236454,40,True,1.9346163292352954,6.448928248459144
2025-09-19 18:11:03,26,-20.71887418525844,361,False,9.19060149097031,8.202400922847852
2025-09-19 18:11:08,27,3.2208882443810785,66,True,1.9254440815899312,8.679069948537473
2025-09-19 18:11:38,28,-19.039460964121968,363,False,7.204470746300747,9.066869307479644
2025-09-19 18:11:40,29,5.490177843666351,18,True,1.8938400789942649,7.693610632791595
2025-09-19 18:12:10,30,-17.092662590770985,365,False,3.59847651634079,8.809983800220335
2025-09-19 18:12:40,31,-21.874216725712355,363,False,10.358636382144523,7.380037574747699
2025-09-19 18:12:46,32,0.5191623223810504,77,True,1.9212834427084815,5.311591947505169
2025-09-19 18:13:17,33,-19.77619480865733,364,False,5.052531224403263,6.033232783440491
2025-09-19 18:13:20,34,4.641301659224625,39,True,1.9370502642787155,8.4055377128701
2025-09-19 18:13:22,35,4.076609457370634,25,True,1.9873927430079523,5.985800072815505
2025-09-19 18:13:52,36,-19.91081270697772,363,False,6.423001957302981,6.962781484694666
2025-09-19 18:14:22,37,-20.374091397089636,360,False,6.838056906345794,6.044448469740484
2025-09-19 18:14:52,38,-19.39095057466181,362,False,8.075638631718924,9.951800129509477
2025-09-19 18:14:54,39,4.778612243650588,20,True,1.9338554153915388,6.989640306798365
2025-09-19 18:15:24,40,-19.734474481938104,362,False,7.493657627153335,7.586623085997535
2025-09-19 18:15:54,41,-19.880050501738825,362,False,5.794944966639242,6.7846419131330205
2025-09-19 18:16:00,42,3.2583379065446856,74,True,1.9942396715885637,9.615283207244552
2025-09-19 18:16:30,43,-19.138639723081074,365,False,5.187453048954765,7.434673558303381
2025-09-19 18:16:34,44,5.32065288452219,42,True,1.600698842531273,9.47707176525773
2025-09-19 18:16:36,45,5.374116494450194,20,True,1.6515878062194034,7.445698180277135
2025-09-19 18:16:42,46,2.893154318488006,71,True,1.925692555054011,8.427529540948232
2025-09-19 18:16:44,47,4.806159530279684,32,True,1.9967927158695322,8.090850803000295
2025-09-19 18:16:46,48,5.529964618457374,15,True,1.6263266084980954,7.702478144913161
2025-09-19 18:16:47,49,5.070756561690166,17,True,1.7354185197966192,6.978454107018172
2025-09-19 18:16:49,50,4.693314617131545,18,True,1.7233622986998065,6.00433305895286
2025-09-19 18:17:19,51,-19.823884492615456,361,False,4.5757691816978445,5.1564087398943235
2025-09-19 18:17:21,52,4.683791485577814,25,True,1.9352379927233743,7.25968184916145
2025-09-19 18:17:30,53,0.9349900957844308,103,True,1.9776635290443154,9.008171196890059
2025-09-19 18:17:34,54,3.894911241033745,56,True,1.6506054478298176,8.860920155778366
2025-09-19 18:17:41,55,1.2272981431563623,74,True,1.821263907619216,5.681821823989027
2025-09-19 18:18:11,56,-19.862290506511037,366,False,5.113869995005991,5.895726850677722
2025-09-19 18:18:41,57,-20.146311097270427,363,False,8.29212387311107,8.28373095477209
2025-09-19 18:18:54,58,-2.447054752316385,165,True,1.960436714728205,8.68962708014028
2025-09-19 18:19:24,59,-19.00912686425422,362,False,4.635623373314785,6.579296903458789
2025-09-19 18:19:33,60,-0.27393026856016345,106,True,1.8789185560629897,6.196374647332493
2025-09-19 18:20:03,61,-18.285363267140433,363,False,5.511075373541715,8.614669576465221
